id,nom,quantite,prix
791,Frais Cafe,80,5.05
792,Papier toilette,70,75.44
793,Bio Farine,56,28.52
794,Frais Masque Pack de 1,58,53.06
795,Frais Glace,37,7.66
796,Bio Savon,92,83.19
797,Lot Masque,86,42.86
798,Bio Nettoyant,6,34.15
799,Yaourt Pack de 2,64,24.33
800,Premium Brocoli,42,33.11
801,Frais Essuie tout,69,8.53
802,Premium Concombre,58,39.79
803,Frais Poivron,92,4.34
804,Lot Liquide vaisselle Pack de 1,16,58.76
805,Lot Masque,72,37.93
806,Lot Chips,17,11.24
807,Brocoli,1,24.14
808,Petit Crevettes,42,5.13
809,Bio Cafe,34,38.08
810,Frais Haricots,87,35.72
811,Premium The,1,62.78
812,Grand Masque Pack de 6,74,63.51
813,Petit Liquide vaisselle,65,99.73
814,Huile d'olive,82,7.2
815,Lot Riz,26,38.66
816,Premium Masque,65,57.35
817,Petit Fromage,51,9.86
818,Poisson,66,56.62
819,Grand Shampooing,27,45.8
820,Petit Boeuf Pack de 12,49,98.94
821,Bio Lessive,15,83.47
822,Bio Nettoyant,46,15.95
823,Grand Tomates en boite Pack de 12,83,72.54
824,Bio Nettoyant,91,97.55
825,Lot The,78,74.04
826,Premium Huile d'olive Pack de 2,18,86.32
827,Lot The Pack de 12,71,21.54
828,Lot Pomme de terre,80,38.14
829,Grand The,76,87.32
830,Frais Vinaigre,51,16.46
831,Petit Concombre,20,27.66
832,Lait,49,96.88
833,Frais Brocoli,58,49.33
834,Premium Huile d'olive,20,62.71
835,Concombre,62,18.68
836,Bio Pain,3,56.89
837,Sel Pack de 2,59,15.56
838,Petit Biscuits,33,80.96
839,Crevettes,71,12.21
840,Frais Pates Pack de 12,38,95.08
841,Lot Glace Pack de 4,7,78.93
842,Frais Orange Pack de 1,47,50.79
843,Pomme de terre,100,67.87
844,Bio Beurre,80,40.66
845,Grand Pain,36,30.8
846,Grand The,54,85.14
847,Beurre,86,85.08
848,Premium Poisson,61,25.38
849,Lot Glace,34,9.64
850,Grand Savon,100,30.5
851,Pain Pack de 4,33,16.36
852,Sel,80,33.56
853,Frais Glace Pack de 1,89,38.88
854,Frais Pain Pack de 4,34,66.7
855,Bio Poisson,24,19.68
856,Frais Poivron,67,29.03
857,Shampooing,42,68.75
858,Petit Haricots,83,11.61
859,Banane,65,61.33
860,Frais Masque,15,8.07
861,Jus,68,66.95
862,Grand Chocolat,29,42.66
863,Petit Poivre,58,87.74
864,Lot Javel,8,89.29
865,Premium Carotte,7,88.12
866,Petit Chips,72,76.36
867,Premium Javel,12,39.76
868,Lot Orange Pack de 2,84,72.06
869,Poivron,83,23.65
870,Frais Fromage,30,59.41
871,Premium Jus,19,75.91
872,Frais Javel,98,1.11
873,Grand Fromage,56,52.47
874,Petit Fromage Pack de 12,14,24.33
875,Grand Vinaigre,26,33.01
876,Petit Liquide vaisselle Pack de 12,63,67.47
877,Bio Savon,53,23.13
878,Glace Pack de 10,89,12.93
879,Premium Pain,3,47.38
880,Lot Banane Pack de 2,39,29.94
881,Petit Carotte,25,97.51
882,Grand Poivre,69,51.75
883,Frais Liquide vaisselle,48,62.02
884,Bio Pain Pack de 12,46,53.45
885,Lot Liquide vaisselle Pack de 1,27,47.85
886,Bio Poisson,36,2.29
887,Premium Desinfectant Pack de 1,14,18.97
888,Bio Jus Pack de 10,5,72.67
889,Lot Nettoyant Pack de 2,92,78.13
890,Lot Banane Pack de 1,99,39.2
891,Bio Biscuits,4,94.1
892,Bio Masque,92,5.0
893,Frais Sel,7,9.32
894,Frais Pomme de terre,5,98.86
895,Grand Poulet,25,23.93
896,Lot Pain,83,21.84
897,Petit Boeuf,23,80.3
898,Bio Poisson Pack de 4,49,53.36
899,Lot Boeuf,42,59.3
900,Bio Pates Pack de 4,33,73.14
901,Grand Laitue Pack de 1,66,39.37
902,Petit Pomme de terre,100,39.17
903,Lot Cereales Pack de 6,91,59.17
904,Bio Yaourt,48,86.1
905,Grand Desinfectant,46,15.12
906,Pizza Pack de 4,38,3.29
907,Frais Lait Pack de 10,10,59.36
908,Grand Orange,90,94.41
909,Frais Haricots,10,72.29
910,Grand Sel,98,82.31
911,Grand Chocolat,5,3.68
912,Grand Concombre,75,78.25
913,Petit Haricots Pack de 6,9,15.37
914,Premium Sucre,99,74.36
915,Lot Laitue Pack de 4,19,2.74
916,Grand Vinaigre,89,98.06
917,Petit Dentifrice Pack de 10,100,96.47
918,Frais Masque,38,57.23
919,Petit Poulet,41,38.34
920,Biscuits Pack de 2,70,46.44
921,Farine,59,24.29
922,Premium Poisson,91,12.17
923,Frais Liquide vaisselle,69,92.26
924,Laitue,50,93.16
925,Premium Yaourt,7,88.87
926,Premium Chips,44,41.48
927,Tomates en boite,4,94.72
928,Petit Papier toilette,10,8.04
929,Grand Tomate,38,7.2
930,Petit Chocolat,38,97.04
931,Premium Oignon,73,21.94
932,Petit Tomate,24,56.71
933,Frais Farine,64,66.93
934,Lessive,8,99.11
935,Petit Huile d'olive,56,95.57
936,Petit Riz,11,31.78
937,Lot Poulet,47,23.58
938,Brocoli,14,66.5
939,Premium Chips,87,51.24
940,Petit Glace,28,73.09
941,Bio Riz,38,41.42
942,Lot Haricots Pack de 1,43,73.65
943,Grand Laitue,51,44.31
944,Beurre Pack de 4,34,76.61
945,Premium Masque,15,88.31
946,Poisson,72,51.5
947,Frais Carotte,21,16.55
948,Petit Liquide vaisselle Pack de 1,36,27.59
949,Petit Desinfectant,32,32.38
950,Frais Crevettes,24,64.92
951,Bio Cafe,50,53.12
952,Premium Essuie tout,93,25.63
953,Bio Cereales,67,75.48
954,Premium Orange,33,33.42
955,Frais Lait,23,31.6
956,Poivre,64,97.65
957,Petit Lessive Pack de 12,23,79.07
958,Petit The Pack de 10,20,48.65
959,Bio Pizza,47,27.01
960,Premium Carotte,69,51.1
961,Papier toilette,30,90.03
962,Grand Glace Pack de 6,85,59.37
963,Lot Beurre,65,37.17
964,Vinaigre Pack de 10,97,53.51
965,Lot Boeuf,82,41.25
966,Bio Lessive Pack de 12,19,45.66
967,Petit Riz,6,3.64
968,Petit The Pack de 1,74,86.93
969,Petit Carotte Pack de 6,76,33.27
970,Frais Brocoli Pack de 10,52,43.42
971,Frais Farine,52,89.48
972,Frais Dentifrice,55,58.25
973,Bio Boeuf,83,60.39
974,Huile d'olive,21,5.39
975,Pates Pack de 2,74,75.76
976,Petit Carotte,99,48.86
977,Concombre,27,88.17
978,Lot Cafe,15,77.56
979,Frais Vinaigre Pack de 6,56,44.38
980,Petit Concombre,85,60.3
981,Bio Cereales,20,37.6
982,Frais Crevettes,66,49.83
983,Bio Biscuits,13,63.53
984,Premium Cereales,59,69.74
985,Shampooing,80,80.5
986,Grand Tomates en boite,36,96.41
987,Grand Beurre,86,35.68
988,Frais Carotte,27,8.3
989,Frais Fromage Pack de 12,15,75.39
990,Lot Poivre Pack de 1,19,12.58
991,Petit Glace,35,56.23
992,Petit Sel,74,58.39
993,Petit Orange,44,67.81
994,Premium Chips,62,86.7
995,Poivron,24,47.48
996,Premium Fromage,15,91.72
997,Premium Jus,82,43.94
998,Petit Pomme,92,47.18
999,Premium Pomme de terre,51,45.55
1000,Grand Biscuits Pack de 2,68,51.06
